day,collision_date,NUM_COLLISIONS
7,2015-03-15,459
1,2015-03-16,529
2,2015-03-17,528
3,2015-03-18,547
4,2015-03-19,582
5,2015-03-20,570
6,2015-03-21,507
7,2015-03-22,432
1,2015-03-23,586
2,2015-03-24,601
3,2015-03-25,538
4,2015-03-26,525
5,2015-03-27,532
6,2015-03-28,459
7,2015-03-29,505
1,2015-03-30,556
2,2015-03-31,628
3,2015-04-01,648
4,2015-04-02,653
5,2015-04-03,491
6,2015-04-04,507
7,2015-04-05,422
1,2015-04-06,510
2,2015-04-07,452
3,2015-04-08,457
4,2015-04-09,452
5,2015-04-10,486
6,2015-04-11,576
7,2015-04-12,443
1,2015-04-13,554
2,2015-04-14,542
3,2015-04-15,595
4,2015-04-16,560
5,2015-04-17,679
6,2015-04-18,605
7,2015-04-19,471
1,2015-04-20,630
2,2015-04-21,645
3,2015-04-22,568
4,2015-04-23,612
5,2015-04-24,676
6,2015-04-25,592
7,2015-04-26,477
1,2015-04-27,558
2,2015-04-28,613
3,2015-04-29,679
4,2015-04-30,640
5,2015-05-01,642
6,2015-05-02,540
7,2015-05-03,555
1,2015-05-04,641
2,2015-05-05,638
3,2015-05-06,568
4,2015-05-07,684
5,2015-05-08,709
6,2015-05-09,560
7,2015-05-10,549
1,2015-05-11,645
2,2015-05-12,684
3,2015-05-13,655
4,2015-05-14,654
5,2015-05-15,723
6,2015-05-16,650
7,2015-05-17,543
1,2015-05-18,566
2,2015-05-19,606
3,2015-05-20,666
4,2015-05-21,615
5,2015-05-22,727
6,2015-05-23,546
7,2015-05-24,432
1,2015-05-25,420
2,2015-05-26,686
3,2015-05-27,697
4,2015-05-28,682
5,2015-05-29,813
6,2015-05-30,622
7,2015-05-31,555
1,2015-06-01,691
2,2015-06-02,642
3,2015-06-03,658
4,2015-06-04,552
5,2015-06-05,692
6,2015-06-06,598
7,2015-06-07,559
1,2015-06-08,634
2,2015-06-09,652
3,2015-06-10,667
4,2015-06-11,666
5,2015-06-12,451
6,2015-06-13,395
7,2015-06-14,578
1,2015-06-15,506
2,2015-06-16,593
3,2015-06-17,706
4,2015-06-18,615
5,2015-06-19,732
6,2015-06-20,505
7,2015-06-21,620
1,2015-06-22,774
2,2015-06-23,703
3,2015-06-24,778
4,2015-06-25,670
5,2015-06-26,774
6,2015-06-27,595
7,2015-06-28,535
1,2015-06-29,662
2,2015-06-30,622
